pwmval;lux
0;0.000000
100;63.292800
200;139.627200
300;212.526400
400;286.884800
500;361.304000
600;437.912000
700;510.081600
800;585.564800
900;660.835200
1000;733.187200
1100;813.291200
1200;881.721600
1300;957.934400
1400;1034.299200
1500;1104.979200
1600;1179.216000
1700;1257.465600
1800;1331.793600
1900;1402.260800
2000;1476.497600
2100;1557.787200
2200;1633.939200
2300;1705.318400
2400;1773.748800
2500;1849.748800
2600;1919.904762
2700;2020.031746
2800;2092.774603
2900;2133.790476
3000;2199.898413
3100;2304.006349
3200;2352.501587
3300;2439.841270
3400;2529.593651
3500;2602.457143
3600;2657.104762
3700;2733.346032
3800;2814.774603
3900;2892.704762
4000;2964.965079
4095;3041.809524
4096;3041.085714
