pwmval;lux
0;0.000000
100;18.331200
200;39.945600
300;61.499200
400;83.964800
500;104.576000
600;127.588800
700;149.355200
800;169.084800
900;192.796800
1000;212.465600
1100;234.171200
1200;255.451200
1300;276.518400
1400;299.744000
1500;319.443200
1600;340.844800
1700;362.368000
1800;386.384000
1900;405.323200
2000;426.724800
2100;449.859200
2200;471.260800
2300;492.844800
2400;514.732800
2500;536.377600
2600;555.134400
2700;576.961600
2800;599.974400
2900;621.892800
3000;643.355200
3100;664.513600
3200;684.699200
3300;705.432000
3400;728.627200
3500;749.998400
3600;771.491200
3700;793.075200
3800;813.838400
3900;834.936000
4000;856.155200
4095;879.168000
4096;878.833600
