pwmval;lux
0;0.030400
100;86.822400
200;192.553600
300;293.481600
400;399.030400
500;504.974400
600;602.254400
700;708.867200
800;807.849600
900;912.668800
1000;1013.475200
1100;1116.257600
1200;1218.948800
1300;1328.540800
1400;1424.300800
1500;1532.251200
1600;1634.668800
1700;1734.137600
1800;1847.499200
1900;1949.339200
2000;1992.264000
2100;1992.264000
2200;1992.264000
2300;1992.264000
2400;1992.264000
2500;1992.264000
2600;1992.264000
2700;1992.264000
2800;1992.264000
2900;1992.264000
3000;1992.264000
3100;1992.264000
3200;1992.264000
3300;1992.264000
3400;1992.264000
3500;1992.264000
3600;1992.264000
3700;1992.264000
3800;1992.264000
3900;1992.264000
4000;1992.264000
4095;1992.264000
4096;1992.264000
